sent_id,sent_text,sent_label1,sent_label2,sent_label3
109-0-0,Limpieza de graffitis y remodelación de aluche,YES,CLAIM,NONE
109-0-0,Los vecinos de Aluche vemos día tras día como nuestro querido barrio está cada vez más sucio y descuidado.,YES,CLAIM,NONE
109-0-0,Los vecinos de Aluche vemos día tras día como nuestro querido barrio está cada vez más sucio y descuidado.,YES,CLAIM,NONE
109-0-1,"Graffitis y basura por todas partes, aceras rotas, baches en la carretera, zonas de jardines destrozadas.",YES,CLAIM,NONE
109-17276-0,No a los ruidos.,YES,CLAIM,NONE
109-17276-1,Reducir el número de decibelios permitido.,YES,CLAIM,NONE
109-18717-0,Gracias por tu propuesta.,NO,SPAM,NONE
109-18717-1,He creado una específicamente para grafitis en toda la ciudad.,NO,SPAM,NONE
109-18717-2,"Por favor, apoyadla.",NO,SPAM,NONE
109-19077-0,"Votado, gracias.",NO,SPAM,NONE
109-23361-0,"Que se pinten su casa por dentro, claro.",NO,SPAM,NONE
109-20688-0,Es un problema global lo de las pintadas descontroladas.,NO,SPAM,NONE
109-20688-1,"Por favor, votad.",NO,SPAM,NONE
109-20773-0,"Muchas gracias, entre todas las propuestas relacionadas nos apoyamos!.",NO,SPAM,NONE
109-20773-1,Entre todos lo conseguiremos.,NO,SPAM,NONE
109-27247-0,Que os parecería esto para el barrio.,NO,SPAM,NONE
109-20774-0,Otros debates: No a los ruidos.,NO,SPAM,NONE
109-20774-1,Reducir el número de decibelios permitido Zonas para que los perros puedan estar libres y pipi-can.,NO,SPAM,NONE
109-21186-0,Votado! muchas gracias por votar la mia.,NO,SPAM,NONE
109-27246-0,Que os parecería esto.,NO,SPAM,NONE
109-24436-0,Y el centro de Madrid que te parece como esta?.,NO,SPAM,NONE
109-25989-0,Aprendamos a mantener limpia España.,NO,SPAM,NONE
109-26535-0,"Muy ilustrativo, gracias por el aporte.",NO,SPAM,NONE
109-26535-1,Entre todos lo conseguiremos apoyando esta propuesta y similares Otros debates: No a los ruidos.,NO,SPAM,NONE
109-26535-2,Reducir el número de decibelios permitido Zonas para que los perros puedan estar libres y pipi-can.,NO,SPAM,NONE
109-27240-0,Fue muy injusto para Aluche!.,NO,SPAM,NONE
109-33339-0,Por favor votad para reciclaje.,NO,SPAM,NONE
109-33719-0,Creo que nuestras propuestas son complementarias.,NO,SPAM,NONE
109-34245-0,"Cierto, votemos propuestas similares para conseguirlo entre todos.",NO,SPAM,NONE
109-34245-1,Gracias por tu voto!.,NO,SPAM,NONE
109-34246-0,"Muchas gracias por los apoyos, recuerdo temas que nos preocupan y mucho: No a los ruidos.",NO,SPAM,NONE
109-34246-1,Reducir el número de decibelios permitido Zonas para que los perros puedan estar libres y pipi-can.,NO,SPAM,NONE
109-38159-0,Muchas gracias entre todos lo conseguiremos.,NO,SPAM,NONE
109-40146-0,Gracias por apoyarme.,NO,SPAM,NONE
109-41071-0,Apoyad también mi propuesta de limpieza por favor.,NO,SPAM,NONE
109-41071-1,"Cuantos más votos, más conseguiremos.",NO,SPAM,NONE
109-41071-2,Esto no puede seguir así.,NO,SPAM,NONE
109-41619-0,"Estoy de acuerdo, es deplorable como se encuentra el barrio.",YES,CLAIM,NONE
109-44793-0,"Muchas gracias por los apoyos, recuerdo temas que nos preocupan y mucho: No a los ruidos.",NO,SPAM,NONE
109-44793-1,Reducir el número de decibelios permitido Zonas para que los perros puedan estar libres y pipi-can.,NO,SPAM,NONE
109-56617-0,Totalmente de acuerdo.,NO,SPAM,NONE
109-48591-0,Apoyo su propuesta.,NO,SPAM,NONE
109-48591-1,La mayoría de barrios de Madrid están en el mismo estado.,NO,SPAM,NONE
109-51873-0,"Buenos días a tod@s, la limpieza es una de las partes de una sociedad que tenemos que cuidar tod@s sin excepción, es tan importante como la seguridad de una ciudad o la sanidad para las personas, si tenemos insalubridad en una ciudad corremos mucho riesgo en todos los aspectos, os envío un enlace para que entréis a leerlo si os parece correcto votarlo, los puntos a tratar sobre la limpieza son bastante interesantes, no hace falta hacer inversiones exageradas, es más, todo ello está sobradamente probado y funciona, votar la idea si os parece bien para conseguir el máximo posible de votos para poder reaccionar frente a la limpieza de Madrid.",YES,CLAIM,NONE
109-52744-0,"Apoyo la limpieza pero los graffitis me gustan,",YES,CLAIM,NONE
109-52744-1,no veo nada antihigiénico en ello.,YES,PREMISE,CONCESSION
109-53173-0,"Efectivamente, no estamos en contra de los graffittis, estamos en contra de las pintadas sin sentido.",YES,CLAIM,NONE
109-53173-1,"Graffitis artísticos sí tienen cabida, el vandalismo no.",YES,PREMISE,PRECISION
109-75867-0,Si te gustan que los hagan en tu casa en tu portal y en tu coche.,YES,CLAIM,NONE
109-75867-1,Pero basta ya de tener Madrid echo una mierda por estos niñatos.,YES,PREMISE,OPPOSITION
109-76187-0,"No claro que no, pero en las paredes que no se usan o se usan para publicidad si.",YES,PREMISE,ALTERNATIVE
109-55835-0,Me parece una propuesta muy interesante.,NO,SPAM,NONE
109-55835-1,"Vecinos por un metro en la Zona de las Calles Los yébenes, Camarena y Valmojado.",NO,SPAM,NONE
109-57960-0,Votado como has hecho con la mia.,NO,SPAM,NONE
109-58117-0,Más que multas que no podrán pagar les haría realizar servicios comunitarios de limpieza.,YES,CLAIM,NONE
109-58117-1,"A limpiar cacas de perro, chicles y colillas en paradas de autobús y estaciones!",YES,PREMISE,RESULT
109-58117-2,Así toman un poquito de conciencia.,YES,PREMISE,RESULT
109-58117-3,Y para los graffitis que son arte restauración de paredes en solares y lugares públicos donde mostrar su habilidad.,YES,PREMISE,ADDITION
109-60032-0,Estoy de acuerdo sobre todo en que el barrio necesita mejoras en algunas calles y aceras y el tema de la limpieza y los contenedores.,YES,CLAIM,NONE
109-60032-1,"Lo único que discrepo es en el tema de los graffitis, a mí sí están bien hechos me gustan, es arte urbano.",YES,PREMISE,OPPOSITION
109-75866-0,En Madrid arte urbano poco y vandalismo mucho.,NO,SPAM,NONE
109-75866-1,Date una vuelta por el centro de Madrid.,NO,SPAM,NONE
109-75866-2,"Vomitivo, edificios historicos, mobiliario urbano, puertas de portales, escaparates con pintadas de acido.",NO,SPAM,NONE
109-75866-3,Tolerancia cero al graffity.,NO,SPAM,NONE
109-61625-0,"Algo que creo que beneficiaría ampliamente a la limpieza de la ciudad es el aumento maquinas limpiadoras de aceras de esas que son un pequeño vehículo como los de las maquinas de limpiar coches con cepillos, agua y jabón.",YES,CLAIM,NONE
109-61625-1,"¿Cuantas máquinas de esas hay funcionando en Madrid? , con lo grande que es tendría que ver muchas y casi no veo y las que veo son de medioambiente, ¿pero esos no son los que cuidan los parques?",NO,SPAM,NONE
109-61625-2,"Debería haber en cada distrito toda una legión de ellas funcionando, es la forma de tener la ciudad limpia e higienica, porque aquí no llueve apenas como puede ser en el norte.",YES,CLAIM,NONE
109-65822-0,Deberíamos proponer al Ayuntamiento algún tipo de medio de concienciación de los vecinos de cada barrio para que nos sintamos implicados en mantener esas mejoras que exigimos.,YES,CLAIM,NONE
109-65822-1,"Limpieza, no ruido, y lo que este en nuestras manos.",NO,SPAM,NONE
109-65674-0,Votado compañero!.,NO,SPAM,NONE
109-65815-0,"Yo por mi parte, lo siento, pero grafittis, ningúno.",YES,CLAIM,NONE
109-65815-1,A mi no tiene por que gustarme ver mi fachada pintada con algo que no he elegido.,YES,PREMISE,REASON
109-65815-2,Prefiero ver las calles con fachadas limpias tal y como se concibieron al construirlas.,YES,CLAIM,NONE
109-65816-0,No solo para Aluche sino para todos los barrios que sufran estos problemas.,YES,CLAIM,NONE
109-65816-1,"Por eso apoyo tu propuesta pero referida también a los barrios del Centro, concretamente el de Malasaña.",YES,PREMISE,ADDITION
109-66775-0,"Conozco la zona y estoy de acuerdo pero estoy más de acuerdo con poner una tasa para las mascotas, con el pago de la misma entregaría un plano con las zonas reservadas a los perros, un extracto de la normativa cursos, cuidados básicos etc. Ello implica más responsabilidad para el dueño y aumentaría la formación y conocimiento de la normativa tan desconocida por los actuales dueños y paseadores ya no sería un juguete gratuito como hasta ahora.",YES,CLAIM,NONE
109-66775-1,Lo que no cuesta no se valora.,NO,SPAM,NONE
109-66775-2,Yo pagaría 10€ al mes por esa mascota que cuido y me da cariño sin dudarlo.,YES,CLAIM,NONE
109-67234-0,"Hay que cuidar todos los barrios por igual, así como Aluche, Vallecas está siendo tomado por toxicómanos y camellos.",YES,CLAIM,NONE
109-67234-1,Por favor apoyad,NO,SPAM,NONE
109-67234-2,mi propuesta.,NO,SPAM,NONE
109-69986-0,Apoyado! y que se extienda al resto de los barrios.,NO,SPAM,NONE
109-70625-0,Conozco Aluche y es cierto que se ve antiguo y sucio.,NO,SPAM,NONE
109-70625-1,Dejo mi voto por si sirve de ayuda.,NO,SPAM,NONE
109-74421-0,Habría que diferenciar los graffittis.,YES,CLAIM,NONE
109-74421-1,Deberían crearse zonas para que puedan realizar gtaffittis y el resto debería multarse por hacerlo.,YES,CLAIM,NONE
109-78101-0,"Estoy de acuerdo con vosotros, pero tenemos que tener en cuenta que toda la labor no es del Ayuntamiento, también con concierne a nosotros el educar en el respeto a los demás y a la ciudadanía y concienciar a las personas que la calle no es del Ayuntamiento sino de todos nosotros y por ese motivo debemos cuidarla y respetarla.",YES,PREMISE,OPPOSITION
109-78101-1,La libertad de los demás termina donde empieza la mía.,NO,SPAM,NONE
109-78101-2,"Y si no se consigue por las buenas, que sería, lo mejor, pues multa al canto.",YES,CLAIM,NONE
109-89897-0,"La falta de civismo que esta sociedad a creado es intolerable, no puede haber un barrendero limpiando una y otra vez el mismo día la misma calle, hay que limpiar de acuerdo, pero hay que acabar con esta impunidad para la gente que deja bolsas de basura, botellas, muebles, colchones, cartón, cacas de perro, etc.",YES,CLAIM,NONE
109-89897-1,"En cualquier lugar, sin que page por ello hasta que aprenda que la ciudad es patrimonio de todos y como ciudadanos merecemos un respeto.",NO,SPAM,NONE
109-89897-2,Que se aplique la normativa y que se multe al infractor.,YES,CLAIM,NONE
109-93434-0,"Te dejo esta petición por si te parece bien y nos podias ayudar, el barrio esta muy, muy, sucio.",NO,SPAM,NONE
109-123688-0,¡Enhorabuena por la propuesta! En el barrio de Castillejos tenemos un parque con los mimso problemas Os agradecemos mucho si leéis y apoyáis nuestra propuesta.,NO,SPAM,NONE
1114-0-0,Concienciación en colegios para el respeto por los animales,YES,CLAIM,NONE
1114-0-0,Programa de concienciación en colegios coordinado por expertos en la lucha contra el maltrato animal y abandono.,YES,CLAIM,NONE
1114-0-0,Programa similar al de educación por la ciudadanía  para que desde las aulas se tome conciencia de lo importante que es  saber respetar al resto de animales.,YES,PREMISE,ADDITION
1114-0-1,"Se trabajará por tanto, por una generación de grandes personas.",YES,PREMISE,REASON
1114-0-2,El programa se organizará a través de protectoras expertas en la lucha contra el maltrato animal y el abandono.,YES,PREMISE,PRECISION
1114-0-3,"Se enseñaría a los más pequeños la responsabilidad que supone  tener un animal en casa: desde que comen, beben  , salen,  hacen sus necesidades, .",YES,PREMISE,PRECISION
1114-0-4,"Muy importante, concienciar contra el maltrato y el abandono, fomentar la adopción en detrimento de la compra-venta, .",YES,CLAIM,NONE
1114-21137-0,"Propongo Zonas para que los perros puedan estar libres y pipi-can, votad.",NO,SPAM,NONE
1114-21897-0,Encantado con tu propuesta.,NO,SPAM,NONE
1114-21897-1,"Tienes mi apoyo Sería interesante junto con la propuesta de una ciudad amiga de los animales: Con espacios más grandes para las personas de perros y concienciación tendríamos una ciudad muy, muy bonita.",YES,CLAIM,NONE
1114-22038-0,Gracias Manuel.,NO,SPAM,NONE
1114-22038-1,Está subiendo como la espuma.,NO,SPAM,NONE
1114-22038-2,A ver si llegamos a mucha gente y lo conseguimos.,NO,SPAM,NONE
1114-22038-3,Te doy también mi apoyo.,NO,SPAM,NONE
1114-21914-0,Me parece muy necesario.,YES,CLAIM,NONE
1114-21914-1,"Pero junto con esta medida muy acertada tienen ir unidas otras medidas como campañas de esterilización, control máximo de la crianza de animales, no a la compra-venta de animales, sacrificio cero en las perreras y cambio de instalaciones donde los animales no estén encarcelados, etc. Porque si no sería un contrasentido enbeducar en el respeto y no abandonó de animales, cuando las instituciones no hacen nada por cambiar el panorama general tan desolador.",YES,PREMISE,REASON
1114-21914-2,"Es decir, no tiene sentido decirle a un niño/a que respete y no abandone a un animal y desde las instituciones matando animales en las perreras, encarcelados tal holocausto infernal.",YES,PREMISE,RESTATEMENT
1114-22035-0,Entraría dentro del programa.,YES,CLAIM,NONE
1114-22035-1,Los expertos en esta lucha sabrían perfectamente el contenido del programa y por supuesto entra eso que indicas.,YES,PREMISE,EXPLANATION
1114-22035-2,"La esterilización frente a la cría indiscriminada, la adopción frente a la compra-venta, la tenencia responsable y el sacrificio cero está unido.",YES,PREMISE,PRECISION
1114-22035-3,El colegio está para formar y la familia para educar de padres a hijos y en este sentido puede ser de hijos a padres.,YES,CLAIM,NONE
1114-22035-4,Los padres muchas veces aprendemos y nos concienciamos de aspectos de la vida gracias a nuestros hijos.,YES,PREMISE,EXPLANATION
1114-22035-5,"En el programa se puede incluir, a su vez, actividades en las que se hace partícipe a los familiares.",YES,PREMISE,ADDITION
1114-22035-6,"De la educación y la formación se crean hábitos, costumbres, valores y leyes.",YES,PREMISE,RESULT
1114-22035-7,Es una forma no muy rápida pero sí efectiva de llegar a las instituciones y hacer un mundo mejor.,YES,PREMISE,CONCLUSION
1114-22035-8,Un cordial saludo.,NO,SPAM,NONE
1114-30528-0,Es muiy importante que los niños aprendan de pequeños a respetar y amar a los animales para conseguir acabar con eel maltrato animal y hacernos más conscientes de que somos un animal más y todos merecemos respeto.,YES,CLAIM,NONE
1114-30533-0,¡Totalmente de acuerdo!,NO,SPAM,NONE
1114-31462-0,Es muy importante la educación y respeto pero porque nunca se habla de animales que están en peligro de extinción pero si de perros y gatos.,YES,PREMISE,OPPOSITION
1114-31462-1,No tengo nada en contra de eso pero claro como son animales que no vemos a diario no se comparte la empatia de los animales domesticos que hay por millones en todo el mundo.,YES,PREMISE,OPPOSITION
1114-42653-0,Es importante la educación a favor de los animales y es vergonzoso e indignante ver como hay un monton de ciudadanos que se pasean por los mercados de Madrid y no se revelan al ver los cadaveres de inocentes animales expuestos como mercaderia.,YES,CLAIM,NONE
1114-42653-1,"Y ver como hay gente que aun compra sus trozos de carne para cocinarlos al fuego y luego deborarlos, muchas veces dejando trozos sin comer ni aprovechar, lo que demuestra que no se come por necesidad, sino por el ansia de favorecer el maltrato animal.",YES,CLAIM,NONE
1114-57514-0,"Apoyo la propuesta, pero quiero matizar algo.",NO,SPAM,NONE
1114-57514-1,El amor a los animales es mucho más extensivo que solamente los animales domésticos.,YES,CLAIM,NONE
1114-78264-0,La propuesta es interesante pero me temo que nos estamos olvidando de temas que son prioritarios para la vida de muchas familias sin recursos que no pueden alimentar a sus hijos.,YES,CLAIM,NONE
1114-78264-1,Os recuerdo que España es el país de la OCDE donde más avanzó la desigualdad durante la crisis.,YES,PREMISE,EXPLANATION
1114-78264-2,La desigualdad en España avanza a un ritmo que supera hasta 14 veces a Grecia.,YES,PREMISE,EXPLANATION
1114-78264-3,"La pobreza y la exclusión en España han aumentado alarmantemente en los últimos años, con 134 millones de personas en riesgo de exclusión en el año 2014 292 de la población española según concluye el informe Una economía al servicio del 1 hecha pública en 2016 por Oxfam Intermon.",NO,SPAM,NONE
1114-78264-4,"Por otra lado, estamos a la espera de que nos apliquen 10000 millones de euros en recortes desde Europa.",NO,SPAM,NONE
1114-78264-5,"Podemos seguir obviando este tema, pensar que no pasa nada pero ahora es el momento de plantear acciones contra la pobreza: .",NO,SPAM,NONE
1114-78378-0,"Hola, me parece genial tu propuesta para que se vote pero gesto feo el que restes importancia a la propuesta de otro ciudadano tal y como has empezado tu comentario.",YES,PREMISE,OPPOSITION
1114-78378-1,Cada uno tiene su escala de valores y prioridades e insisto en que los que nos preocupan los animales también nos preocupan las personas y los problemas que nos rodean.,YES,CLAIM,NONE
1114-78378-2,"Un problema no excluye al otro, es decir, porque haya problemas por resolver con los humanos no significa que dejemos de ayudar al resto de animales.",YES,PREMISE,RESTATEMENT
1114-78378-3,Se puede ayudar a todos en la medida de lo posible y siempre que quieras.,YES,CLAIM,NONE
1114-78378-4,El que una persona no valore las ayuda a los animales es una decisión personal y tan respetable como el que decide ayudar a los animales.,YES,PREMISE,CONCLUSION
1114-78412-0,No son excluyentes pero en la vida siempre se prioriza en base a una escala de valores universal.,YES,CLAIM,NONE
1114-78450-0,Discrepo lo que creo que entiendes por escala de valores universales.,NO,SPAM,NONE
1114-78450-1,No voy a discutir sobre sobre ética y moral.,NO,SPAM,NONE
1114-78450-2,Sólo espero que tengas suerte en tu propuesta y que la mía salgaadelante también.,NO,SPAM,NONE
12131-0-0,Poner letreros de prohibido fumar en las marquesinas de los autobuse de Madrid,YES,CLAIM,NONE
12131-0-0,"Los/as fumadores nos atufan con cigarros y puros en las marquesinas de los autobuses, no te puedes resguardar de las inclemencias del tiempo a no ser que además te quieras tragar sus humos.",YES,CLAIM,NONE
